NinjaScript File,Error,Code,Line,Column,
V12_002.cs,Invalid token '}' in a member declaration,CS1519,954,9,
V12_002.cs,} expected,CS1513,959,56,
V12_002.cs,Invalid token '}' in a member declaration,CS1519,968,9,
V12_002.cs,Elements defined in a namespace cannot be explicitly declared as private protected protected internal or private protected,CS1527,962,23,
V12_002\Orders\Management\StopSync.cs,'TargetSnapshot' is inaccessible due to its protection level,CS0122,471,63,
V12_002\Trailing\StopUpdate.cs,'TargetSnapshot' is inaccessible due to its protection level,CS0122,180,17,
V12_002\Trailing\StopUpdate.cs,'TargetSnapshot' is inaccessible due to its protection level,CS0122,194,17,
V12_002\PositionInfo.cs,'TargetSnapshot' is inaccessible due to its protection level,CS0122,329,20,
V12_002.cs,The name 'AccountPrefix' does not exist in the current context,CS0103,975,50,
V12_002.cs,The name 'AddExpectedPositionDeltaLocked' does not exist in the current context,CS0103,981,81,
V12_002.cs,The name 'SetExpectedPositionLocked' does not exist in the current context,CS0103,982,76,
V12_002.cs,The name 'AddOrUpdateExpectedPositionLocked' does not exist in the current context,CS0103,983,118,
V12_002.cs,The name 'ProcessApplySimaState' does not exist in the current context,CS0103,984,54,
V12_002.cs,The name '_accountOrderQueue' does not exist in the current context,CS0103,991,18,
V12_002.cs,The name 'TriggerCustomEvent' does not exist in the current context,CS0103,992,23,
V12_002.cs,The name '_accountExecutionQueue' does not exist in the current context,CS0103,997,18,
V12_002.cs,The name 'TriggerCustomEvent' does not exist in the current context,CS0103,998,23,
V12_002.cs,The name 'ResumeAccountOrderQueuePump' does not exist in the current context,CS0103,580,13,
V12_002.cs,The name 'ResumeAccountExecutionQueuePump' does not exist in the current context,CS0103,581,13,
V12_002\Orders\Callbacks\AccountOrders.cs,The name 'IsFleetAccount' does not exist in the current context,CS0103,47,17,
V12_002\Orders\Callbacks\AccountOrders.cs,The name 'IsFleetAccount' does not exist in the current context,CS0103,70,22,
V12_002\Orders\Callbacks\AccountOrders.cs,'TargetSnapshot' is inaccessible due to its protection level,CS0122,577,41,
V12_002\Orders\Callbacks.cs,'TargetSnapshot' is inaccessible due to its protection level,CS0122,401,33,
V12_002\Orders\Management\Cleanup.cs,The name 'IsFleetAccount' does not exist in the current context,CS0103,430,25,
V12_002\Orders\Management\StopSync.cs,'TargetSnapshot' is inaccessible due to its protection level,CS0122,498,22,
V12_002\Orders\Management\StopSync.cs,'TargetSnapshot.CapturedOrder' is inaccessible due to its protection level,CS0122,500,42,
V12_002\Orders\Management\StopSync.cs,'TargetSnapshot.CapturedOrder' is inaccessible due to its protection level,CS0122,504,26,
V12_002\Orders\Management\StopSync.cs,'TargetSnapshot.CapturedOrder' is inaccessible due to its protection level,CS0122,505,29,
V12_002\Orders\Management\StopSync.cs,'TargetSnapshot.Price' is inaccessible due to its protection level,CS0122,508,89,
V12_002\Orders\Management\StopSync.cs,'TargetSnapshot.TargetNum' is inaccessible due to its protection level,CS0122,513,59,
V12_002\Orders\Management\StopSync.cs,'TargetSnapshot.Qty' is inaccessible due to its protection level,CS0122,516,30,
V12_002\Orders\Management\StopSync.cs,'TargetSnapshot.TargetNum' is inaccessible due to its protection level,CS0122,525,46,
V12_002\Orders\Management\StopSync.cs,'TargetSnapshot.Qty' is inaccessible due to its protection level,CS0122,528,34,
V12_002\Orders\Management\StopSync.cs,'TargetSnapshot.Qty' is inaccessible due to its protection level,CS0122,530,34,
V12_002\Orders\Management\StopSync.cs,'TargetSnapshot.TargetNum' is inaccessible due to its protection level,CS0122,533,60,
V12_002\Orders\Management\StopSync.cs,'TargetSnapshot.TargetNum' is inaccessible due to its protection level,CS0122,540,34,
V12_002\Orders\Management\StopSync.cs,'TargetSnapshot.Qty' is inaccessible due to its protection level,CS0122,540,76,
V12_002\Orders\Management\StopSync.cs,'TargetSnapshot.TargetNum' is inaccessible due to its protection level,CS0122,545,34,
V12_002\REAPER\Audit.cs,The name 'IsFleetAccount' does not exist in the current context,CS0103,24,21,
V12_002\REAPER\Audit.cs,The name 'IsFleetAccount' does not exist in the current context,CS0103,35,34,
V12_002\SIMA.cs,The name 'IsFleetAccount' does not exist in the current context,CS0103,188,21,
V12_002\SIMA\Execution.cs,The name 'IsFleetAccount' does not exist in the current context,CS0103,60,21,
V12_002\SIMA\Execution.cs,The name 'IsFleetAccount' does not exist in the current context,CS0103,159,21,
V12_002\SIMA\Execution.cs,The name 'IsFleetAccount' does not exist in the current context,CS0103,592,26,
V12_002\SIMA\Flatten.cs,The name 'IsFleetAccount' does not exist in the current context,CS0103,55,21,
V12_002\SIMA\Flatten.cs,The name 'IsFleetAccount' does not exist in the current context,CS0103,67,34,
V12_002\SIMA\Flatten.cs,The name 'IsFleetAccount' does not exist in the current context,CS0103,331,22,
V12_002\SIMA\Flatten.cs,The name 'IsFleetAccount' does not exist in the current context,CS0103,342,34,
V12_002\SIMA\Fleet.cs,The name 'IsFleetAccount' does not exist in the current context,CS0103,526,21,
V12_002\SIMA\Lifecycle.cs,The name 'AddExpectedPositionDelta' does not exist in the current context,CS0103,123,25,
V12_002\SIMA\Lifecycle.cs,The name 'AddExpectedPositionDelta' does not exist in the current context,CS0103,142,25,
V12_002\SIMA\Lifecycle.cs,The name 'IsFleetAccount' does not exist in the current context,CS0103,161,21,
V12_002\SIMA\Lifecycle.cs,The name 'SetExpectedPosition' does not exist in the current context,CS0103,167,61,
V12_002\SIMA\Lifecycle.cs,The name 'IsFleetAccount' does not exist in the current context,CS0103,220,22,
V12_002\SIMA\Lifecycle.cs,The name 'IsFleetAccount' does not exist in the current context,CS0103,229,37,
V12_002\SIMA\Lifecycle.cs,'V12_002' does not contain a definition for 'AddOrUpdateExpectedPosition' and no accessible extension method 'AddOrUpdateExpectedPosition' accepting a first argument of type 'V12_002' could be found (are you missing a using directive or an assembly reference?),CS1061,249,44,
V12_002\SIMA\Lifecycle.cs,The name 'IsFleetAccount' does not exist in the current context,CS0103,279,46,
V12_002\SIMA\Lifecycle.cs,The name 'IsFleetAccount' does not exist in the current context,CS0103,304,22,
V12_002\SIMA\Lifecycle.cs,The name 'IsFleetAccount' does not exist in the current context,CS0103,740,22,
V12_002\SIMA\Lifecycle.cs,The name 'IsFleetAccount' does not exist in the current context,CS0103,1030,22,
V12_002\Trailing\StopUpdate.cs,'TargetSnapshot' is inaccessible due to its protection level,CS0122,62,33,
V12_002\Trailing\StopUpdate.cs,'TargetSnapshot' is inaccessible due to its protection level,CS0122,182,69,
V12_002\Trailing\StopUpdate.cs,'TargetSnapshot' is inaccessible due to its protection level,CS0122,189,43,
V12_002\Trailing\StopUpdate.cs,'TargetSnapshot' is inaccessible due to its protection level,CS0122,196,68,
V12_002\Trailing\StopUpdate.cs,'TargetSnapshot' is inaccessible due to its protection level,CS0122,203,42,
V12_002\Trailing\StopUpdate.cs,'TargetSnapshot' is inaccessible due to its protection level,CS0122,211,69,
V12_002\Trailing\StopUpdate.cs,'TargetSnapshot' is inaccessible due to its protection level,CS0122,218,43,
V12_002\UI\Compliance.cs,The name 'IsFleetAccount' does not exist in the current context,CS0103,73,32,
V12_002\UI\Compliance.cs,The name 'IsFleetAccount' does not exist in the current context,CS0103,96,32,
V12_002\UI\Compliance.cs,The name 'IsFleetAccount' does not exist in the current context,CS0103,213,25,
V12_002\UI\Compliance.cs,The name 'IsFleetAccount' does not exist in the current context,CS0103,504,60,
V12_002\UI\IPC\Commands\Fleet.cs,The name 'IsFleetAccount' does not exist in the current context,CS0103,228,21,
V12_002\UI\IPC\Commands\Fleet.cs,The name 'IsFleetAccount' does not exist in the current context,CS0103,296,21,
V12_002\UI\IPC\Commands\Misc.cs,The name 'ApplySimaState' does not exist in the current context,CS0103,106,17,
V12_002\UI\IPC\Commands\Misc.cs,The name 'IsFleetAccount' does not exist in the current context,CS0103,129,21,
V12_002\UI\IPC.cs,The name 'IsFleetAccount' does not exist in the current context,CS0103,179,29,
